題目編號,題目,答題選項1,答題選項2,答題選項3,答題選項4,答案編號
40,下列關於銀河系內事物的描述，何者正確？,球狀星團主要分布於其星系盤面上,疏散星團的年齡平均而言比球狀星團年輕,旋臂是因為恆星繞行星系中心的速度不均勻所造成的,觀測上發現星系的質量集中在恆星上,2
41,下列何者在天文學發展史上曾經一度被視為行星，但目前被改列為矮行星？,月球,火星,穀神星,鬩神星,3
42,一個陰曆月當中，何時月球距離太陽最遠？,朔,上弦,望,下弦,3
43,主序帶上光譜型為A型的恆星，具有下列何項特徵？,光譜中的氫譜線十分顯著,發光強度大都比太陽低,表面溫度大都偏低約4000K,以上皆非,1
44,下列何種星體的光度變化，不是由其本身物理機制造成？,超新星爆炸,食變星,造父變星,米拉變星,2
45,下列哪一個選項所表示的兩個年份都是閏年？,2020、2100,2000、2200,2300、2400,2368、2400,4
46,金星是天空中除日月外最亮的天體。下列哪一項不是使金星視亮度非常明亮的主因？,距離地球很近,表面覆蓋大量硫酸雲,體積很大,距離太陽很近,3
47,近年來不斷有各種太空船去探索太陽系內的小行星與彗星，甚至嘗試攜帶樣品回到地球提供科學家們分析。最重要的原因是？,小行星及彗星上保有太陽系形成初期的成份，有助於了解太陽系的起源,小行星及彗星的分化作用比較簡單，有助於了解行星上的類似作用,小行星及彗星是造成地球生態浩劫的元兇，有必要了解這些潛在的威脅,小行星及彗星對有機分子的合成有重要貢獻，有助於了解生命的起源,1
48,下列關於兩顆中子星互繞、合併的描述，何者不正確？,中子星合併是宇宙中重元素的重要來源之一,我們已經觀測到這個現象所引發的微中子,我們已經觀測到這個現象所引發的重力波,我們已經觀測到這個現象所引發的伽瑪射線,2
49,天文學家為了解釋宇宙加速膨脹現象，因而提出可能佔宇宙總質能量最多的是？,暗能量,暗物質,星系團,星系際熾熱氣體,1
50,有關火星的敘述，下列何者正確？,每年地球上可見一次衝，距離最近,有探測器登陸採集表面土壤，並返回地球 ,大氣比地球稀薄，表面無風,雖體積小，但目前有太陽系行星中最高的山峰,4
51,下列何地的觀測者在一年當中能夠觀測到最大範圍的星空？,臺灣 ,印尼,日本,澳洲,2
52,一般相信時空有個起點，俗稱為「大霹靂」。下列有關大霹靂的敘述，何者不正確？,大霹靂發生於大約138億年前,大霹靂之後的高溫引發了核融合反應,宇宙龐大的引力使得輻射產生紅移，強度集中在微波波段,目前在宇宙中沒有發現更老的天體,3
53,下列哪些元素(或同位素)大部分是在大霹靂之後的最初三分鐘形成？,氫、氦、氖,鋰、氧、氬,氦、硼、鎂,氫、氘、鋰,4
54,有關臺北天文館小行星(300300 TAM，2007PL12)的敘述，下列何者正確？,由臺北天文館同仁所發現,2007年發現至今，已經有300300次的觀測，才得到這個正式編號,每300年靠近地球1次,是當年8月發現的第311顆小行星,4
55,如果地球沒有大氣，下列哪個結果最有可能出現在地球上？,沒有流星了,沒有磁場了,月亮沒有陰晴圓缺,地表會發生大洪水,1
56,傳說農曆七夕牛郎與織女相會，當天夜晚可能發生下列那一現象？,天黑後月亮在東方升起,牛郎與織女的赤經座標相同,月食,以上皆非,4
57,天文學家發現土星的衛星泰坦(Titan)表面具有大氣層。關於這個大氣層的敘述，下列何者正確？,泰坦的大氣十分濃密，從地球就能確認其具有大氣層,泰坦的表面重力比地球小，大氣主要由分子量大的二氧化碳所組成,泰坦的半徑比地球小，它的大氣厚度因此比地球的小,泰坦距離太陽比地球遠，溫度低，它的大氣厚度因此比地球的小,1
58,下列對於日地關係的描述，何者正確？,一年四季不論日照長短，太陽都會從正東方昇起,夏天較冬天炎熱，是因為我們在夏天距太陽比較近,地球公轉太陽的平均半徑會隨著時間而逐漸加大,數十億年後度地球上的溫度會隨著太陽發光強度的逐漸增加而上升,4
59,宇宙太空裡時常會觀測到兩個星系互相接近，使得兩星系彼此間產生重力交互作用的狀況，此時下列哪一個現象最不可能發生？,星系核心的大質量黑洞變大,旋臂數量增加,出現潮汐尾,恆星誕生率暴增,2
60,有關哈伯定律的說明，何者正確？,波源與我們的相對速度會影響我們觀測到的波長,氣體壓力與溫度成正比,星系離我們遠去的速率與其和我們的距離成正比,黑子在太陽表面出現的緯度成週期變化,3
61,科學家對於在其他行星或衛星探勘「水」的存在有興趣，下列哪一項不是主要原因？,水可以分解而取得重要的氫氣做為核燃料,水是太空殖民的重要物資,水是生命活動的關鍵物質,水可以調節氣候,4
62,下列關於太陽系內天體之間引潮力的描述，何者正確？,引潮力總是造成衛星遠離其行星,引潮力總是使行星的自轉週期變長,引潮力的大小與距離的立方成反比,太陽距離太遠，不需要考慮它所造成的引潮力,3
63,克卜勒(Johannes Kepler)於1609年及1619年提出了行星運行的三大定律。以牛頓力學的觀點來看，下列關於克卜勒行星運行三定律的描述，何者正確？,行星繞行太陽的軌道為橢圓，且太陽位處橢圓的中心,行星繞行太陽的速度不隨時間改變,行星繞行太陽的週期與公轉軌道平均半徑的關係，來自重力的大小與距離平方成反比,行星繞行太陽的週期與公轉軌道平均半徑的平方成正比,3
64,某顆10等星經過觀察發現是雙星，亮度比例為1比1，則個別恆星的星等最接近幾等？,5,9.25,10.75,11,3
65,太陽直徑大約是地球的109倍，所以兩者的體積相差大約幾倍？,100,"10,000","1,000,000","100,000,000",4
66,下列對於地月關係的描述，何者正確？,地球與月球之間的潮汐力會使一天的長度逐漸變長,地球與月球之間的距離會因為地球引力而變小,一年的天數和月球無關，所以不會改變,月球公轉地球的週期是不會改變的,1
67,太陽的活動周期會影響太陽的許多現象。當太陽處在活動極大期時，下列哪一項描述是錯誤的？,太陽黑子的數量極多,太陽的磁場結構很規律,頻繁發生太陽閃焰爆發,太陽所發出的X射線輻射很高,2
68,當太陽演化離開主序階段時，其核心主要的成分為？,氘,氦,碳,鐵,2
69,下列關於彗星的敘述，何者正確？,彗星由彗髮、塵埃尾、離子尾等三個部份組成,彗尾是因為慣性、輻射壓力及太陽風所造成,彗尾的方向永遠以180°背對太陽,我們所看到的流星都是來自於彗尾的殘留,2
70,太陽自轉一圈大約需時多久？,1天,1週,1個月,以上皆非，太陽根本不會自轉,3
71,冬季長夜有著一年四季中最熱鬧的星空。冬季亮星中，畢宿五、五車二、北河二、北河三、參宿四、參宿七、天狼星、南河三，表面溫度最高與最低的兩顆星分別是（聯星系統者以主星為準）？,參宿七和參宿四,天狼星和五車二,南河三和北河三,參宿七和畢宿五,1
72,下列關於金牛座T型星的敘述，何者正確？,是恆星演化成白矮星之前的狀態,是超新星爆炸之前的狀態,我們的太陽未來會經歷到此狀態,內部尚未進行氫的核融合反應,4
73,太陽風是下列何者？,日冕噴發出來的帶電物質,太陽死亡前噴發的雲氣,色球磁場造成的圓弧狀結構,太陽形成時吸積的氣體與塵埃,1
74,李白的詩句有：「今人不見古時月，今月曾經照古人」。如果在李白的時代觀星，估計一晚可看見多少顆星星？,6000,600,60,60000,1
75,下列關於天球座標系統的描述，何者正確？,黃道座標系統是計算太陽系內天體運動最方便的座標系統,銀河座標系統與黃道座標系統之間的夾角為23.5?,銀河座標系統的座標原點一定為銀河系中心,赤道座標系統的座標原點一定為地心,1
76,月球「永遠以同一面對向地球」，這是因為下列何種原因所造成?,月球受到地球重力牽引,月球的背面隕石坑較多,地球的自轉與月球公轉週期相同,地球中心包含較重的元素,1
77,天體發出哪個波段的電磁波完全無法到達地球表面？,X射線,紫外線,可見光,無線電波,1
78,根據國際天文聯合會IAU的資料，目前太陽系行星中，擁有最多衛星的是下列何者？,木星,土星,天王星,海王星,2
79,下列關於流星雨的敘述，何者正確？,同一流星雨的流星在地球大氣層內行進的速度都差不多,同一流星雨在每年的輻射點位置都是固定不動的,同一流星雨在每年所觀測到的數量都差不多,上半夜通常比下半夜更適合觀測流星雨,1
80,下列天體中，何者與其他三個的成分最不相似？,木星,小行星,月球,隕石,1
81,下列何者不是矮行星？,鬩神星,智神星,穀神星,冥王星,2
82,太陽為黃色恆星，織女星呈現藍白色，參宿四為紅橙色，火星亦呈紅橙色，下列敘述何者正確？,織女星的表面溫度最高,參宿四的表面溫度最低,火星看起來最明亮,太陽的實際發光能力最強,1
83,光害影響天文觀測至深。下列哪一項不是能減少光害、保護星空的措施？,室外照明增加燈罩，使燈光集中向下而不會向上漫射,住家加裝不透光窗簾，阻止光線洩漏,隨手關燈,路燈改用紅色LED燈,4
84,關於廿四節氣的說明，下列何者錯誤？,春分時，陽光直射赤道,北半球的夏至，就是南半球的冬至,清明約略落在農曆4月5日,昨天(11月7日)是立冬,3
85,有關於前陣子在金星上發現磷化氫(PH3)的科學新聞，下列何者解讀較正確？,金星上已經發現生命,磷化氫過去只在地球上發現,這是科學家為了爭取預算，譁眾取寵的假新聞,金星上若有生命存在，表示太陽系以外的區域有生命存在的可能性大為提高,4
86,下列關於星座的描述何者正確？,全天共有 88 個星座,天空中有許多區域不屬於任何星座,星座的邊界隨著行星運行而改變,只有足夠明亮的恆星才屬於星座成員,1
87,古文「人生不相見，動如參與商，…」。文中的商星位於哪個星座？,獵戶座,獅子座,天蠍座,長蛇座,3
88,月球始終以同一面朝向地球，下列敘述何者正確？,月球沒有自轉,月球的自轉週期與公轉週期相同,月球的自轉週期與月相變化週期相同,以上皆非,2
89,秒差距 (parsec，縮寫為 pc) 是天文學中很常使用的長度單位。在一個三角形中，當一個天文單位 (1AU  =  1.5  × 108 km) 所對應的角度為 1 角秒時，其距離即定義為 1 秒差距 (1pc  =  3.09 × 1013  km) 。若我們已知紅超巨星「心宿二」的直徑大約是6.32 AU，其對應的角度是 0.0413 角秒，請問心宿二距離地球大約多少秒差距？,1.53 pc,15.3 pc,153 pc,1530 pc,3
90,月亮不會從天上掉下來或直接撞上地球，其原因為何種作用力？,離心力,磁力,萬有引力,科氏力,1
91,有關星等的描述，下列哪一選項是錯誤的？,星等每相差 5 等，亮度相差 100 倍,恆星越亮，星等的數值越大,裸眼能看見的最暗星約為 6 等星,拜耳主要是依據恆星在各星座星等排序，為星座中的恆星命名,2
92,若是在日落時月球出現在正南方仰角 45 度的天空，則月相為何？,新月,上弦月,滿月,下弦月,2
93,太陽運行到天球座標赤經 0 h ，會是在下列哪個時間？,秋分,春分,農曆新年,端午,2
94,用於觀測星空的雙筒望遠鏡需要明亮的視野，而由雙筒望遠鏡標示的倍數 (X) 與口徑 (單位為毫米) ，可以得知其相對亮度。下列何種口徑與倍數的組合最適合用於天文觀測？,10 X 70,8 X 40,7 X 50,6 X 21,3
95,克卜勒第三運動定律說明了行星週期 p (年)與行星軌道半長軸 a (AU) 的關係：p2 = a3。已知金星與太陽的平均距離是 0.72 AU (可視為半長軸長)，請問金星繞太陽公轉一圈的週期多長？,0.32 年,0.61 年,1 年,2 年,2
96,天文航海中非常重要的三項儀器，分別是測量天體仰角的六分儀、測量時間差的航海鐘，以及記述天體位置及出沒時間的星曆表。若在北半球航海，下列哪個選項是錯誤？,使用六分儀測量北極星仰角，可得出當地緯度,使用星曆表的天體出沒時刻，比對航海鐘的時間差，可得出當地經度,北極星仰角若比出發時降低了 5 度，表示船隻往北行進了緯度 5 度,航海鐘要能保持在出發地點的時區，方便測量與當地的時間差,3
97,下列哪一選項不是閏年？,西元 1994 年,西元 2000 年,西元 2020 年,西元 2024 年,1
98,針對認識星星所參考的星群，下列那個敘述是錯誤的？,星群全都是由跨星座的亮星組成,組成星群的恆星多是裸眼可見的亮星,每個季節都有星群可以協助認識星星,有些亮星可以是兩個星群的成員,1
99,以下何者不是月偏食過程會出現的階段？,食甚,食既 ,初虧,復圓,2
100,經過一個沙羅週期，日、地、月三個天體又回到幾乎相同的幾何相對位置上，會重現相似的日食或月食現象。但下列哪種月與沙羅週期無關？,朔望月,恆星月,近點月,交點月,2
101,"有關月球的來源,目前最普遍接受的說法是哪一學說?",分裂說,捕獲說,孿生說,大碰撞說,4
102,"火星看起來色調偏紅,主要原因為何?",地表溫度高,地表溫度低,地表富含氧化鐵,大氣吸收太陽的紅光,3
103,"恆星的核心會以核融合方式產生能量,不同質量恆星核心溫度各有不同,請問太陽的核心溫度約幾度 (K) ?",5500 度,1 萬度,100 萬度,1500 萬度,4
104,"黃道光是沿著黃道或黃道帶泛出略呈三角形的微光。在臺灣,最容易在黃昏時看到黃道光的時段是?",春分,夏至,秋分,冬至,1
105,關於太陽表面活動的敘述下列何者正確?,太陽表面的米粒組織是因為太陽表層的對流活動所造成,太陽黑子是因為太陽的磁場活動所造成,太陽風指的是太陽上層大氣所噴射出的超高速帶電粒子,以上皆是,4
106,第一個有人類探測器登陸的外太陽系衛星是?,土衛二 (Enceladus),土衛六 (Titan),木衛一 (Io),木衛二 (Europa),2
107,"月球繞地球公轉,每日的月出與月沒時間平均都會延後 50 分鐘,但實際上延後的時間在 30〜70 分鐘不等。下列哪一分至點月岀延後的時間最少?",春分,夏至,秋分,冬至,3
108,"在地球上觀測,下列哪顆行星不會發生「衝」的天象?",天王星,土星,木星,金星,4
109,"依據現今天文學定義,四大小行星當中有哪一顆不分類於太陽系小天體?",穀神星 (1 Ceres),智神星 (2 Pallas),婚神星 (3 Juno),灶神星 (4 Vesta),1
110,以下哪一分類小行星群其軌道最不穩定?,主帶小行星 (Main-Belt Asteroids),近地小行星 (Near-Earth Asteroids),木星特洛伊小行星 (Jupiter Trojans),海王星外天體 (Trans-Neptunian Objects),2
111,下列哪一探測任務是第一艘穿越太陽系、進入星際介質的太空船?,羅賽塔彗星探測器,伽利略號太空船,航海家一號太空船,卡西尼-惠更斯號太空船,3
112,"天王星在太空中看起來是藍色的,主要是因為太陽光中的藍光被天王星的大氣中哪一種氣體所散射?",甲烷,氫氣,二氧化碳,氦氣,1
113,"2023 年的雙子座流星雨極大期發生在臺灣時間 12 月 15 日凌晨,這天是農曆初三,觀測條件絕佳!下列哪一個是合理的 2024 年雙子座流星雨極大期日期?",10 月 21 日,12 月 3 日,12 月 14 日,12 月 27 日,3
114,"太陽在天球上移動,其軌跡會經過下列那一個星座?",烏鴉座,長蛇座,蛇夫座,巨蛇座,3
115,"2023 年土星衝發生在 8 月 27 日,依你所知的行星運行原理推論,2024 年土星衝應發生於下列哪一日期?",5 月 10 日,9 月 8 日,11 月 17 日,12 月 8 日,2
116,下列關於行星位置的描述何者正確?,"水星東大距時,可在日出前往西方低空尋找水星","金星東大距後 1 個月,金星將逐漸靠近地球,視直徑越來越大",火星衝每一年都一定會發生一次,"木星衝發生時,木星正在順行",2
117,有關火星的性質下列何者有誤?,火星上曾經有河流和海洋,火星上沒有大氣層,火星的土壤裡有發現氮、磷、硫等生命組成元素,火星上沒有覆蓋全球的磁場,2
118,下列有關月球的敘述何者有誤?,月球仍然在逐漸地遠離地球當中,月球表面曾經布滿了火山活動與流動的熔岩,月球的形成可能起因於一顆火星大小的原始行星撞上地球,月球具有像地球一樣的磁場,4
119,"銀河系中有很多的雙星系統,雙星系統是由兩顆恆星所組成的恆星系統,它們圍繞著共同的質心在軌道上運行。下列何者不是雙星系統?",心宿二,天狼星,織女星,南河三,3
120,"特洛伊天體是與一顆較大的天體共享軌道的小天體,所以較大的衛星也會有特洛伊衛星。目前已經發現哪一顆行星的衛星有特洛伊衛星?",木星,土星,天王星,海王星,2
121,"小行星中的近地小行星分成四型,下列哪一型對地球的威脅最小?",阿波羅型 (Apollo asteroid),阿登型 (Aten asteroid),阿莫爾型 (Amor asteroid),阿波希利型 (Apohele asteroid),4
122,"複合日食是一種特殊的日食現象,指同一場日食當中,部分地區可以看到日全食、部分地區可以看到日環食的現象。以下關於複合日食的描述,何者錯誤?",地表與月球最近的位置會看到日環食,位於月球本影區的位置會看到日全食,地表位在半影區的位置會看見日偏食,月球影將自西往東掠過地球表面,1
123,"用肉眼觀察天上星星,最不容易看到以下哪種顏色的星星?",藍色,紅色,綠色,白色,3
124,"離太陽最近的恆星,與地球之距離約多遠?",4 天文單位,4 秒差距,4 萬公里,4 光年,4
125,恆星死掉後不會變成下列哪種天體?,黑洞,白矮星,行星,中子星,3
126,下列主序星的質量何者最小?,藍色的角宿一,白色的織女星,黃色的太陽,紅色的巴納德星,4
127,"已知視星等 (m)、絕對星等 (M) 與距離 (d) 之間的關係為:m − M = 5 log d − 5,距離的單位是秒差距 (pc) 。現在有一顆恆星距離地球 3.6 pc (log3.6=0.56),視星等 m =+4.7 ,請問這顆恆星的絕對星等 M 為多少?",2.3,-1.7,-8.2,6.9,4
128,"以下透過恆星光譜可以得知的訊息,何者有誤?",可以測得恆星表面溫度,可以測得恆星的化學組成,可以估算恆星的年齡,可以分辨出恆星的類型是紅巨星、白矮星、還是主序星,3
129,下列有關於赫羅圖 (Hertzsprung-Russell Diagram) 的敘述何者正確?,藍超巨星位於赫羅圖左上方,白矮星位於赫羅圖的主序帶右上方,紅巨星位於赫羅圖的主序帶左下方,赫羅圖可以用來預測黑洞的大小,1
130,"雙星在英語中,Double star 和 Binary star 是不同的,主要的差別是兩星之間是否有力學上的關聯。下列那一種不一定是 Binary star ?",光學雙星,食雙星,天測雙星,共生雙星,1
131,"一顆主序星只要夠亮,能夠觀察到光譜,就可以利用分光視差 (Spectroscopic parallax)測量該星至地球的距離。利用這種方法測量極限距離大約多遠?","5,000 秒差距","10,000 秒差距","15,000 秒差距","20,000 秒差距",2
132,"如果太陽將壓縮,半徑小於多少就會變成黑洞?",3 公里,30 公里,3 公尺,3 天文單位,1
133,"已知恆星的光度與其表面積、溫度呈正比,下列何者是光度與另外兩者的正確比例?",光度與半徑的 3 次方成正比,光度與半徑的 4 次方成正比,光度與溫度的 3 次方成正比,光度與溫度的 4 次方成正比,4
134,"獵戶座大星雲 (M42) 是有名的恆星生成區,以下何者沒有在這區觀測到?",疏散星團,原恆星 (Protostar),黑洞,棕矮星,3
135,赫羅圖 (Hertzsprung-Russell Diagram) 的縱、橫座標分別為何?,絕對星等、星色,距離、光度,視差、溫度,視直徑、行星數,1
136,快速電波爆 (Fast Radio Burst) 目前認為可能跟哪種天體有關?,白矮星,紅巨星,磁星,系外行星,3
137,下列哪一恆星其表面溫度最高?,牛郎星,織女星,大角星,北極星,2
138,"原恆星 (Protostar) 是由分子雲經由重力塌縮集中下的天體,是恆星形成過程中的早期階段,以下何者尚未在原恆星系統中觀測到?",類地行星,吸積盤,噴流 (Jet),外流 (Outflow),1
139,下列何者梅西耶天體編號與其俗名搭配不符?,M31:仙女座大星系,M45:昴宿星團,M57:啞鈴星雲,M97:貓頭鷹星雲,3
140,"恆星的生命週期會因為恆星本身的物理性質而所有不同,下列敘述何者正確?",質量愈大的恆星愈慢演化成紅巨星,"質量與太陽類似的恆星,其內部最後會核融合成鐵的核心",白矮星會發光主要是來自於內部的核融合反應,"當恆星進入紅巨星的階段,核心會開始進行氦的核融合",4
141,"蒭藁型變星 (Mira variable,米拉變星) 是一種脈動變星。特徵是恆星的顏色非常紅,變光週期超過 100 天,而且光度變化超過一個視星等。在恆星演化的赫羅圖上它們的類別是?",早期的紅巨星,漸近巨星支星,水平分支星,紅群聚,2
142,"太陽是一顆年齡約 50 億歲的中年主序星,光譜類型為 G2V。依據恆星演化理論,它在主序帶上還有 50 億年的歲月,然後離開主序帶。請問當它在即將離開主序帶時的光譜為何種類型?",最高溫的 O 或 B 型,高溫的 A 或 F 型,G 型,低溫的 K 或 M 型,3
143,"M1 蟹狀星雲是梅西耶星雲星團列表裡非常著名的星雲,下列對於蟹狀星雲的的描述何者正確?",蟹狀星雲是超新星爆炸的遺跡,蟹狀星雲的中央是一個脈衝星,蟹狀星雲中央有一個高速自轉的中子星,以上皆是,4
144,"銀河系周圍有許多伴星系,離我們最近的是?",人馬座矮橢球星系,小麥哲倫星系,人馬座矮不規則星系,仙女座大星系,1
145,"星系中可見諸多由恆星聚集在一起的集團稱為星團。一般認為,同一個星團裡的恆星,何者性質接近?",同時間誕生,有類似的顏色,質量差不多,演化階段一樣,1
146,"若用恆星的生成與消亡作分類,下列何者天體與其他三者差異最大?",M42 獵戶座大星雲,NGC 6960 面紗星雲,M1 蟹狀星雲,NGC 7293 螺旋星雲,1
147,"銀河系的組成中,質量佔比最高的是?",恆星,氣體,塵埃,暗物質,4
148,"梅西耶星雲星團列表中有很多著名的恆星生成區,下列何者不是恆星生成區?",M57 行星狀星雲,M42 獵戶座大星雲,M20 三裂星雲,M16 老鷹星雲,1
